0x0077 : 0000 0000 0111 0111 = lsls r7, r6, #1
0x0078 : 0000 0000 0111 1000 = lsls r0, r7, #1
0x0079 : 0000 0000 0111 1001 = lsls r1, r7, #1
0x007a : 0000 0000 0111 1010 = lsls r2, r7, #1
0x007b : 0000 0000 0111 1011 = lsls r3, r7, #1
0x007c : 0000 0000 0111 1100 = lsls r4, r7, #1
0x007d : 0000 0000 0111 1101 = lsls r5, r7, #1
0x007e : 0000 0000 0111 1110 = lsls r6, r7, #1
0x007f : 0000 0000 0111 1111 = lsls r7, r7, #1
0x0080 : 0000 0000 1000 0000 = lsls r0, r0, #2
0x0081 : 0000 0000 1000 0001 = lsls r1, r0, #2
0x0082 : 0000 0000 1000 0010 = lsls r2, r0, #2
0x0083 : 0000 0000 1000 0011 = lsls r3, r0, #2
0x0084 : 0000 0000 1000 0100 = lsls r4, r0, #2
0x0085 : 0000 0000 1000 0101 = lsls r5, r0, #2
0x0086 : 0000 0000 1000 0110 = lsls r6, r0, #2
0x0087 : 0000 0000 1000 0111 = lsls r7, r0, #2
0x0088 : 0000 0000 1000 1000 = lsls r0, r1, #2
0x0089 : 0000 0000 1000 1001 = lsls r1, r1, #2
0x008a : 0000 0000 1000 1010 = lsls r2, r1, #2
0x008b : 0000 0000 1000 1011 = lsls r3, r1, #2
0x008c : 0000 0000 1000 1100 = lsls r4, r1, #2
0x008d : 0000 0000 1000 1101 = lsls r5, r1, #2
0x008e : 0000 0000 1000 1110 = lsls r6, r1, #2
0x008f : 0000 0000 1000 1111 = lsls r7, r1, #2
0x0090 : 0000 0000 1001 0000 = lsls r0, r2, #2
0x0091 : 0000 0000 1001 0001 = lsls r1, r2, #2
0x0092 : 0000 0000 1001 0010 = lsls r2, r2, #2
0x0093 : 0000 0000 1001 0011 = lsls r3, r2, #2
0x0094 : 0000 0000 1001 0100 = lsls r4, r2, #2
0x0095 : 0000 0000 1001 0101 = lsls r5, r2, #2
0x0096 : 0000 0000 1001 0110 = lsls r6, r2, #2
0x0097 : 0000 0000 1001 0111 = lsls r7, r2, #2
0x0098 : 0000 0000 1001 1000 = lsls r0, r3, #2
0x0099 : 0000 0000 1001 1001 = lsls r1, r3, #2
0x009a : 0000 0000 1001 1010 = lsls r2, r3, #2
0x009b : 0000 0000 1001 1011 = lsls r3, r3, #2
0x009c : 0000 0000 1001 1100 = lsls r4, r3, #2
0x009d : 0000 0000 1001 1101 = lsls r5, r3, #2
0x009e : 0000 0000 1001 1110 = lsls r6, r3, #2
0x009f : 0000 0000 1001 1111 = lsls r7, r3, #2
0x00a0 : 0000 0000 1010 0000 = lsls r0, r4, #2
0x00a1 : 0000 0000 1010 0001 = lsls r1, r4, #2
0x00a2 : 0000 0000 1010 0010 = lsls r2, r4, #2
0x00a3 : 0000 0000 1010 0011 = lsls r3, r4, #2
0x00a4 : 0000 0000 1010 0100 = lsls r4, r4, #2
0x00a5 : 0000 0000 1010 0101 = lsls r5, r4, #2
0x00a6 : 0000 0000 1010 0110 = lsls r6, r4, #2
0x00a7 : 0000 0000 1010 0111 = lsls r7, r4, #2
0x00a8 : 0000 0000 1010 1000 = lsls r0, r5, #2
0x00a9 : 0000 0000 1010 1001 = lsls r1, r5, #2
0x00aa : 0000 0000 1010 1010 = lsls r2, r5, #2
0x00ab : 0000 0000 1010 1011 = lsls r3, r5, #2
0x00ac : 0000 0000 1010 1100 = lsls r4, r5, #2
0x00ad : 0000 0000 1010 1101 = lsls r5, r5, #2
0x00ae : 0000 0000 1010 1110 = lsls r6, r5, #2
0x00af : 0000 0000 1010 1111 = lsls r7, r5, #2
0x00b0 : 0000 0000 1011 0000 = lsls r0, r6, #2
0x00b1 : 0000 0000 1011 0001 = lsls r1, r6, #2
0x00b2 : 0000 0000 1011 0010 = lsls r2, r6, #2
0x00b3 : 0000 0000 1011 0011 = lsls r3, r6, #2
0x00b4 : 0000 0000 1011 0100 = lsls r4, r6, #2
0x00b5 : 0000 0000 1011 0101 = lsls r5, r6, #2
0x00b6 : 0000 0000 1011 0110 = lsls r6, r6, #2
0x00b7 : 0000 0000 1011 0111 = lsls r7, r6, #2
0x00b8 : 0000 0000 1011 1000 = lsls r0, r7, #2
0x00b9 : 0000 0000 1011 1001 = lsls r1, r7, #2
0x00ba : 0000 0000 1011 1010 = lsls r2, r7, #2
0x00bb : 0000 0000 1011 1011 = lsls r3, r7, #2
0x00bc : 0000 0000 1011 1100 = lsls r4, r7, #2
0x00bd : 0000 0000 1011 1101 = lsls r5, r7, #2
0x00be : 0000 0000 1011 1110 = lsls r6, r7, #2
0x00bf : 0000 0000 1011 1111 = lsls r7, r7, #2
0x00c0 : 0000 0000 1100 0000 = lsls r0, r0, #3
0x00c1 : 0000 0000 1100 0001 = lsls r1, r0, #3
0x00c2 : 0000 0000 1100 0010 = lsls r2, r0, #3
0x00c3 : 0000 0000 1100 0011 = lsls r3, r0, #3
0x00c4 : 0000 0000 1100 0100 = lsls r4, r0, #3
0x00c5 : 0000 0000 1100 0101 = lsls r5, r0, #3
0x00c6 : 0000 0000 1100 0110 = lsls r6, r0, #3
0x00c7 : 0000 0000 1100 0111 = lsls r7, r0, #3
0x00c8 : 0000 0000 1100 1000 = lsls r0, r1, #3
0x00c9 : 0000 0000 1100 1001 = lsls r1, r1, #3
0x00ca : 0000 0000 1100 1010 = lsls r2, r1, #3
0x00cb : 0000 0000 1100 1011 = lsls r3, r1, #3
0x00cc : 0000 0000 1100 1100 = lsls r4, r1, #3
0x00cd : 0000 0000 1100 1101 = lsls r5, r1, #3
0x00ce : 0000 0000 1100 1110 = lsls r6, r1, #3
0x00cf : 0000 0000 1100 1111 = lsls r7, r1, #3
0x00d0 : 0000 0000 1101 0000 = lsls r0, r2, #3
0x00d1 : 0000 0000 1101 0001 = lsls r1, r2, #3
